ID;Voornaam;Achternaam;Email;Geboortedatum;BSN;Antistoffen;Positief getest;Vac1;Vac2;Vaccin;Geldige PCR test?
413;Sonya;Osinski;SonyaOsinski@example.org;3-1-1965;35419567;nee;nvt;16-1-2021;20-2-2021;PFI;Nee
414;Vivianne;Boyer;VivianneBoyer@example.org;6-6-1970;15114992;nee;nvt;24-4-2021;nog inplannen;PFI;Nee
415;Cydney;Schuster;CydneySchuster@example.org;29-4-1993;97752428;nee;nvt;26-3-2021;12-5-2021;AZ;Ja, 30 uur oud
416;Halle;Murazik;HalleMurazik@example.org;15-7-1979;53208876;nee;nvt;21-2-2021;27-3-2021;PFI;Nee
417;Allie;Lueilwitz;AllieLueilwitz@example.org;22-9-1987;85519041;ja;5-9-2020;17-3-2021;19-4-2021;ONB;Nee
418;Maybell;Gulgowski;MaybellGulgowski@example.org;6-7-1964;85223084;nee;nvt;23-5-2021;nog inplannen;PFI;Nee
419;Alycia;Murphy;AlyciaMurphy@example.org;15-7-1964;87139850;nee;nvt;22-2-2021;7-4-2021;PFI;Nee
420;Fleta;Moore;FletaMoore@example.org;16-8-1982;37930692;ja;5-5-2020;30-1-2021;15-3-2021;PFI;Nee
421;Krystal;Gorczany;KrystalGorczany@example.org;3-11-1934;47895672;nee;nvt;31-3-2021;9-5-2021;PFI;Nee
422;Sid;Kutch;SidKutch@example.org;24-2-1970;30063203;nee;nvt;6-4-2021;27-5-2021;AZ;Ja, 30 uur oud
423;Garrick;Green;GarrickGreen@example.org;7-2-1970;67780527;ja;18-1-2021;19-5-2021;VOLDAAN;AZ;Nee
424;Floyd;Bernier;FloydBernier@example.org;29-12-1956;81504969;ja;10-10-2020;8-3-2021;23-4-2021;PFI;Nee
425;Preston;Murazik;PrestonMurazik@example.org;17-9-1936;37458551;ja;17-1-2021;24-2-2021;30-3-2021;PFI;Nee
426;Cristian;Hartmann;CristianHartmann@example.org;2-11-2002;16357833;nee;nvt;13-4-2021;19-5-2021;PFI;Nee
427;Jaquan;Kling;JaquanKling@example.org;14-9-2003;62383154;nee;nvt;5-5-2021;3-6-2021;PFI;Nee
428;Breanna;Powlowski;BreannaPowlowski@example.org;27-12-2003;87658141;nee;nvt;11-1-2021;20-2-2021;PFI;Nee
429;Julie;Welch;JulieWelch@example.org;6-8-1985;67965296;ja;2-9-2020;18-5-2021;nog inplannen;PFI;Ja, 30 uur oud
430;Anabelle;Farrell;AnabelleFarrell@example.org;29-8-1992;30816304;nee;nvt;23-3-2021;29-4-2021;PFI;Nee
431;Terrance;Mueller;TerranceMueller@example.org;29-6-1946;90621519;nee;nvt;24-3-2021;7-5-2021;PFI;Nee
432;Zoe;Bartoletti;ZoeBartoletti@example.org;28-4-1986;60530064;ja;22-11-2020;30-3-2021;24-5-2021;AZ;Nee
433;Kavon;Stokes;KavonStokes@example.org;11-7-2003;23706729;nee;nvt;17-2-2021;VOLDAAN;JANS;Nee
434;Tevin;Watsica;TevinWatsica@example.org;28-1-1969;71288951;ja;17-5-2020;22-2-2021;VOLDAAN;AZ;Nee
435;Marcelle;Armstrong;MarcelleArmstrong@example.org;23-4-1959;72325164;ja;14-5-2020;26-4-2021;nog inplannen;PFI;Nee
436;Favian;Eichmann;FavianEichmann@example.org;3-11-1954;77332797;nee;nvt;30-3-2021;19-5-2021;PFI;Ja, 12 uur oud
437;Giovani;O'Hara;GiovaniO'Hara@example.org;19-8-1969;75978224;nee;nvt;16-3-2021;12-5-2021;PFI;Nee
438;Woodrow;Gleason;WoodrowGleason@example.org;27-4-1938;61415882;ja;13-10-2020;9-2-2021;7-4-2021;PFI;Nee
439;Jason;O'Kon;JasonO'Kon@example.org;2-9-1978;28459363;ja;14-12-2020;26-4-2021;nog inplannen;PFI;Nee
440;Josue;Prohaska;JosueProhaska@example.org;15-10-1992;20949708;nee;nvt;30-5-2021;nog inplannen;PFI;Nee
441;Javon;Cremin;JavonCremin@example.org;26-4-1936;67271430;nee;nvt;31-5-2021;nog inplannen;MOD;Nee
442;Melba;Powlowski;MelbaPowlowski@example.org;16-7-1939;76939346;nee;nvt;28-4-2021;nog inplannen;PFI;Nee
443;Genesis;Shanahan;GenesisShanahan@example.org;9-6-1976;35169203;nee;nvt;9-2-2021;17-3-2021;PFI;Ja, 12 uur oud
444;Valerie;Cruickshank;ValerieCruickshank@example.org;8-3-1998;73591681;ja;23-11-2020;23-4-2021;nog inplannen;MOD;Nee
445;Jaime;Olson;JaimeOlson@example.org;13-7-1988;87784073;ja;16-7-2020;24-1-2021;17-3-2021;PFI;Nee
446;Letha;O'Hara;LethaO'Hara@example.org;10-2-1972;58561632;nee;nvt;10-4-2021;15-5-2021;ONB;Nee
447;Lilliana;Torp;LillianaTorp@example.org;22-5-1953;75401365;nee;nvt;6-2-2021;1-4-2021;PFI;Nee
448;Victoria;Borer;VictoriaBorer@example.org;2-2-1994;44655914;nee;nvt;11-2-2021;28-3-2021;PFI;Nee
449;Herta;Hagenes;HertaHagenes@example.org;16-1-1952;95183974;ja;7-10-2020;7-4-2021;25-5-2021;MOD;Nee
450;Hubert;O'Kon;HubertO'Kon@example.org;16-8-1994;13131418;nee;nvt;19-4-2021;nog inplannen;MOD;Ja, 30 uur oud
451;Elmira;Heidenreich;ElmiraHeidenreich@example.org;4-10-2001;21469204;ja;22-9-2020;27-2-2021;17-4-2021;AZ;Nee
452;Norval;Paucek;NorvalPaucek@example.org;12-5-1942;78162829;nee;nvt;6-3-2021;9-4-2021;PFI;Nee
453;Marilou;Donnelly;MarilouDonnelly@example.org;21-8-1952;59866702;ja;14-6-2020;11-3-2021;7-5-2021;PFI;Nee
454;Nelle;Stanton;NelleStanton@example.org;5-10-1944;39513482;nee;nvt;28-2-2021;21-4-2021;PFI;Nee
455;Archibald;Schowalter;ArchibaldSchowalter@example.org;28-1-1981;93536930;nee;nvt;18-1-2021;23-2-2021;PFI;Nee
456;Darwin;Durgan;DarwinDurgan@example.org;15-10-1962;22941591;nee;nvt;22-4-2021;VOLDAAN;JANS;Nee
457;Andres;Howe;AndresHowe@example.org;23-3-1975;80050193;ja;9-5-2020;22-2-2021;29-3-2021;AZ;Ja, 12 uur oud
458;Armand;Ullrich;ArmandUllrich@example.org;19-4-1983;90522274;nee;nvt;20-2-2021;20-3-2021;MOD;Nee
459;Frieda;Ferry;FriedaFerry@example.org;2-3-1951;18913749;ja;2-10-2020;6-4-2021;2-6-2021;PFI;Nee
460;Pasquale;Hirthe;PasqualeHirthe@example.org;12-8-1941;78282001;ja;19-12-2020;8-2-2021;15-3-2021;PFI;Nee
461;Baylee;Lindgren;BayleeLindgren@example.org;1-11-1979;38459635;ja;12-9-2020;10-2-2021;2-4-2021;PFI;Nee
462;Trace;McClure;TraceMcClure@example.org;22-7-1932;21078452;ja;18-10-2020;29-3-2021;6-5-2021;PFI;Nee
463;Camille;Padberg;CamillePadberg@example.org;21-12-1984;36699462;nee;nvt;23-2-2021;4-4-2021;AZ;Nee
464;Rahul;O'Reilly;RahulO'Reilly@example.org;31-10-1979;83895073;ja;25-11-2020;21-2-2021;2-4-2021;MOD;Ja, 12 uur oud
465;Brionna;Bahringer;BrionnaBahringer@example.org;19-6-1979;72210245;ja;10-11-2020;24-1-2021;16-3-2021;PFI;Nee
466;Milton;Dickinson;MiltonDickinson@example.org;20-12-1959;76909509;nee;nvt;21-2-2021;13-4-2021;PFI;Nee
467;Monserrat;Hyatt;MonserratHyatt@example.org;10-12-1969;22771913;ja;3-5-2020;23-3-2021;27-4-2021;PFI;Nee
468;Jonatan;Treutel;JonatanTreutel@example.org;27-3-1985;71582103;ja;15-1-2021;7-2-2021;23-3-2021;PFI;Nee
469;Elliott;Bins;ElliottBins@example.org;9-6-2000;30772143;ja;4-8-2020;5-4-2021;24-5-2021;PFI;Nee
470;Sarina;Hilll;SarinaHilll@example.org;31-8-1939;92363034;nee;nvt;24-3-2021;29-4-2021;PFI;Nee
471;Karlie;Abernathy;KarlieAbernathy@example.org;8-5-1975;49157849;nee;nvt;27-2-2021;28-4-2021;AZ;Ja, 30 uur oud
472;Bethel;Pfannerstill;BethelPfannerstill@example.org;19-6-1992;50768073;nee;nvt;10-4-2021;19-5-2021;PFI;Nee
473;Abigayle;Wyman;AbigayleWyman@example.org;17-9-1948;97255807;nee;nvt;26-1-2021;9-3-2021;PFI;Nee
474;Remington;Willms;RemingtonWillms@example.org;4-6-1942;22529186;ja;9-6-2020;24-3-2021;10-5-2021;PFI;Nee
475;May;Collins;MayCollins@example.org;24-8-1968;70175586;nee;nvt;14-1-2021;8-3-2021;AZ;Nee
476;Toby;Mante;TobyMante@example.org;16-7-1988;25677913;nee;nvt;3-2-2021;9-3-2021;PFI;Nee
477;Patricia;Weissnat;PatriciaWeissnat@example.org;19-6-1987;89874925;ja;1-8-2020;13-5-2021;nog inplannen;PFI;Nee
478;Chelsea;Hessel;ChelseaHessel@example.org;11-7-1986;31308892;ja;19-6-2020;23-2-2021;6-4-2021;PFI;Ja, 30 uur oud
479;Marquis;Gorczany;MarquisGorczany@example.org;21-11-1930;90271805;nee;nvt;31-1-2021;11-3-2021;PFI;Nee
480;Amparo;Bernier;AmparoBernier@example.org;23-7-1964;20102668;ja;11-9-2020;23-3-2021;28-4-2021;PFI;Nee
481;Dave;Kling;DaveKling@example.org;21-4-1999;38979073;nee;nvt;8-2-2021;2-4-2021;AZ;Nee
482;Loren;Hegmann;LorenHegmann@example.org;29-5-1947;90313649;ja;25-8-2020;15-4-2021;nog inplannen;PFI;Nee
483;Daphnee;Simonis;DaphneeSimonis@example.org;21-7-1937;79084688;nee;nvt;23-5-2021;nog inplannen;PFI;Nee
484;Braeden;Franecki;BraedenFranecki@example.org;21-10-1992;62253415;nee;nvt;2-2-2021;18-3-2021;PFI;Nee
485;June;Steuber;JuneSteuber@example.org;23-11-1980;26677505;nee;nvt;12-5-2021;VOLDAAN;AZ;Ja, 60 uur oud
486;Eliezer;Mohr;EliezerMohr@example.org;4-8-1979;89287545;ja;24-11-2020;14-5-2021;nog inplannen;AZ;Nee
487;Abby;Tremblay;AbbyTremblay@example.org;14-10-1976;18170080;nee;nvt;31-3-2021;14-5-2021;PFI;Nee
488;Mallory;Treutel;MalloryTreutel@example.org;6-6-1999;56906733;nee;nvt;6-5-2021;nog inplannen;PFI;Nee
489;Norene;Oberbrunner;NoreneOberbrunner@example.org;12-12-1967;10139339;nee;nvt;13-3-2021;8-5-2021;PFI;Nee
490;Sydnie;Connelly;SydnieConnelly@example.org;1-12-1998;41477381;nee;nvt;24-3-2021;19-5-2021;PFI;Nee
491;Jamal;Gutmann;JamalGutmann@example.org;14-11-1983;31169585;ja;16-8-2020;4-4-2021;12-5-2021;PFI;Nee
492;Ivory;Davis;IvoryDavis@example.org;29-6-1945;35776175;nee;nvt;5-2-2021;18-3-2021;AZ;Ja, 60 uur oud
493;Martine;Trantow;MartineTrantow@example.org;26-9-1974;44294161;nee;nvt;11-1-2021;5-3-2021;PFI;Nee
494;Eunice;Sanford;EuniceSanford@example.org;18-5-1942;56664503;ja;27-7-2020;22-3-2021;9-5-2021;PFI;Nee
495;Ellie;Pouros;ElliePouros@example.org;23-4-1988;67803804;nee;nvt;1-4-2021;4-5-2021;PFI;Nee
496;Cristian;Macejkovic;CristianMacejkovic@example.org;7-5-1942;36212440;ja;4-6-2020;30-1-2021;5-3-2021;PFI;Nee
497;Hilma;Schiller;HilmaSchiller@example.org;18-10-1930;92048174;ja;16-1-2021;18-1-2021;1-3-2021;MOD;Nee
498;Montana;Cremin;MontanaCremin@example.org;8-9-1993;85926350;ja;12-8-2020;26-3-2021;29-4-2021;PFI;Nee
499;Cyrus;Rowe;CyrusRowe@example.org;15-1-1933;65855599;ja;20-5-2020;17-5-2021;nog inplannen;PFI;Ja, 60 uur oud
500;Jasper;Fahey;JasperFahey@example.org;25-11-1940;71315989;ja;16-11-2020;18-3-2021;25-4-2021;PFI;Nee
501;Sandrine;Flatley;SandrineFlatley@example.org;16-10-1998;42847833;nee;nvt;22-1-2021;16-3-2021;PFI;Nee
502;Eva;Douglas;EvaDouglas@example.org;1-1-1952;43618761;nee;nvt;1-2-2021;19-3-2021;PFI;Nee
503;Tessie;Morar;TessieMorar@example.org;7-10-1962;77780146;nee;nvt;4-3-2021;12-4-2021;ONB;Nee
504;Linwood;Schmidt;LinwoodSchmidt@example.org;30-12-1969;82410067;ja;15-10-2020;19-1-2021;20-3-2021;PFI;Nee
505;Lindsey;Altenwerth;LindseyAltenwerth@example.org;1-3-1941;39988437;nee;nvt;20-3-2021;22-4-2021;PFI;Nee
506;Rae;Watsica;RaeWatsica@example.org;1-6-1940;73422874;ja;8-7-2020;23-2-2021;12-4-2021;AZ;Ja, 60 uur oud
507;Loraine;Lubowitz;LoraineLubowitz@example.org;25-12-1974;22297306;nee;nvt;1-6-2021;nog inplannen;PFI;Nee
508;Delilah;Rippin;DelilahRippin@example.org;26-5-1995;45334941;nee;nvt;10-5-2021;nog inplannen;PFI;Nee
509;Ashlee;Miller;AshleeMiller@example.org;16-2-1955;12516413;ja;5-9-2020;20-2-2021;1-4-2021;PFI;Nee
510;Finn;Bogisich;FinnBogisich@example.org;16-11-1965;96489535;nee;nvt;22-3-2021;19-5-2021;PFI;Nee
511;D'angelo;Wisozk;D'angeloWisozk@example.org;5-5-1979;65332402;nee;nvt;2-5-2021;nog inplannen;PFI;Nee
512;Brendan;Koch;BrendanKoch@example.org;10-2-1994;14552582;nee;nvt;10-1-2021;21-2-2021;PFI;Nee
513;Lesley;Leuschke;LesleyLeuschke@example.org;13-4-1951;83129506;ja;31-5-2020;22-5-2021;nog inplannen;PFI;Ja, 60 uur oud
514;Izaiah;Casper;IzaiahCasper@example.org;15-9-1982;56941623;nee;nvt;14-3-2021;2-5-2021;PFI;Nee
515;Enrico;Ortiz;EnricoOrtiz@example.org;30-11-1934;78387019;nee;nvt;4-3-2021;25-4-2021;PFI;Nee
516;Sylvan;Maggio;SylvanMaggio@example.org;9-1-1964;92865320;nee;nvt;18-1-2021;5-3-2021;PFI;Nee
517;Amy;Daniel;AmyDaniel@example.org;27-6-1964;61663771;ja;30-9-2020;13-4-2021;12-5-2021;AZ;Nee
518;Immanuel;Dare;ImmanuelDare@example.org;18-11-1980;85590528;ja;15-6-2020;15-4-2021;1-6-2021;AZ;Nee
519;Rachelle;Smith;RachelleSmith@example.org;26-4-1992;28536788;ja;18-8-2020;21-5-2021;nog inplannen;PFI;Nee
520;Ashlee;Durgan;AshleeDurgan@example.org;1-7-1937;83150931;ja;14-8-2020;22-2-2021;6-4-2021;PFI;Ja, 60 uur oud
521;Liliana;Lockman;LilianaLockman@example.org;14-8-1947;94730651;ja;8-6-2020;15-3-2021;23-4-2021;PFI;Nee
522;Elsa;Kessler;ElsaKessler@example.org;13-7-1948;15885903;nee;nvt;4-5-2021;nog inplannen;PFI;Nee
523;Tyshawn;Blick;TyshawnBlick@example.org;11-9-1997;13935940;nee;nvt;7-2-2021;23-3-2021;AZ;Nee
524;Harold;Rice;HaroldRice@example.org;12-6-1941;82897323;nee;nvt;28-5-2021;VOLDAAN;AZ;Nee
525;Judy;Satterfield;JudySatterfield@example.org;15-1-1964;14089348;ja;19-11-2020;13-4-2021;28-5-2021;ONB;Nee
526;Alberta;Ziemann;AlbertaZiemann@example.org;18-10-1957;57398996;ja;30-10-2020;18-1-2021;10-3-2021;PFI;Nee
527;Chaya;Waters;ChayaWaters@example.org;1-10-1947;61258721;nee;nvt;17-2-2021;19-3-2021;PFI;Ja, 30 uur oud
528;Prince;Pfeffer;PrincePfeffer@example.org;9-5-1988;16539226;nee;nvt;10-5-2021;nog inplannen;MOD;Nee
529;Cyrus;Kling;CyrusKling@example.org;14-4-1971;79086532;nee;nvt;26-2-2021;20-4-2021;PFI;Nee
530;Winfield;Rosenbaum;WinfieldRosenbaum@example.org;2-8-1956;59767415;nee;nvt;30-1-2021;2-3-2021;PFI;Nee
531;Eleonore;Hudson;EleonoreHudson@example.org;20-7-1993;89837049;ja;19-11-2020;14-1-2021;9-3-2021;PFI;Nee
532;Guillermo;Spinka;GuillermoSpinka@example.org;20-6-1932;74204683;ja;27-10-2020;6-5-2021;nog inplannen;PFI;Nee
533;Sister;Fay;SisterFay@example.org;21-7-1993;74284121;nee;nvt;21-5-2021;nog inplannen;PFI;Nee
534;Rosie;Heidenreich;RosieHeidenreich@example.org;19-10-1946;16569413;nee;nvt;28-2-2021;29-3-2021;AZ;Ja, 30 uur oud
535;Trudie;Reilly;TrudieReilly@example.org;18-9-1956;28890164;ja;11-8-2020;20-2-2021;12-4-2021;PFI;Nee
536;Minerva;Hermann;MinervaHermann@example.org;22-2-1934;63554984;nee;nvt;10-3-2021;4-5-2021;PFI;Nee
537;Salvador;Renner;SalvadorRenner@example.org;27-8-1939;78310448;nee;nvt;22-1-2021;4-3-2021;MOD;Nee
538;Emil;Terry;EmilTerry@example.org;14-10-1936;76156926;ja;25-10-2020;17-4-2021;27-5-2021;PFI;Nee
539;Damien;Fritsch;DamienFritsch@example.org;13-9-1940;77870280;ja;11-9-2020;17-4-2021;nog inplannen;PFI;Nee
540;Vincenzo;Roberts;VincenzoRoberts@example.org;11-3-1999;32953735;nee;nvt;14-1-2021;14-3-2021;PFI;Nee
541;Jadyn;Bauch;JadynBauch@example.org;11-9-1941;78573216;ja;1-7-2020;29-1-2021;15-3-2021;PFI;Ja, 30 uur oud
542;Glennie;Jacobs;GlennieJacobs@example.org;6-12-1949;59151496;nee;nvt;11-4-2021;VOLDAAN;JANS;Nee
543;Rodrick;Tromp;RodrickTromp@example.org;6-5-1969;34360167;ja;10-6-2020;23-5-2021;nog inplannen;MOD;Nee
544;Oswaldo;Block;OswaldoBlock@example.org;17-12-1932;80792197;nee;nvt;3-3-2021;25-4-2021;AZ;Nee
545;Anais;Considine;AnaisConsidine@example.org;23-2-1936;15962298;nee;nvt;17-1-2021;10-3-2021;PFI;Nee
546;Alf;Collins;AlfCollins@example.org;27-1-1953;72834839;ja;30-7-2020;6-2-2021;29-3-2021;AZ;Nee
547;Sedrick;Sawayn;SedrickSawayn@example.org;23-11-1971;12398393;nee;nvt;19-3-2021;2-5-2021;PFI;Nee
548;Bonita;Quitzon;BonitaQuitzon@example.org;18-9-1958;72779121;ja;13-12-2020;28-1-2021;20-3-2021;PFI;Ja, 30 uur oud
549;Carolina;Weimann;CarolinaWeimann@example.org;24-3-1983;53855192;nee;nvt;10-1-2021;8-3-2021;PFI;Nee
550;London;Keebler;LondonKeebler@example.org;24-3-1973;28602043;ja;11-9-2020;17-4-2021;nog inplannen;PFI;Nee
551;Ebba;Grimes;EbbaGrimes@example.org;6-9-1965;40087335;nee;nvt;15-5-2021;VOLDAAN;AZ;Nee
552;Reyna;Funk;ReynaFunk@example.org;28-11-1965;19001603;ja;8-9-2020;24-4-2021;nog inplannen;PFI;Nee
553;Murl;Kuhlman;MurlKuhlman@example.org;1-2-1975;90048678;nee;nvt;3-4-2021;20-5-2021;ONB;Nee
554;Brent;Collins;BrentCollins@example.org;20-8-1972;91781414;nee;nvt;12-1-2021;14-2-2021;AZ;Nee
555;Virgil;Buckridge;VirgilBuckridge@example.org;28-1-1993;39422058;ja;15-8-2020;1-6-2021;nog inplannen;PFI;Ja, 30 uur oud
556;Adolfo;Crist;AdolfoCrist@example.org;7-12-1935;65474985;ja;7-9-2020;18-2-2021;19-4-2021;PFI;Nee
557;Adrienne;Altenwerth;AdrienneAltenwerth@example.org;22-1-1968;17703909;ja;3-5-2020;10-4-2021;2-6-2021;PFI;Nee
558;Verdie;Rolfson;VerdieRolfson@example.org;20-4-1968;35680932;ja;19-12-2020;27-5-2021;nog inplannen;PFI;Nee
559;Samanta;Okuneva;SamantaOkuneva@example.org;11-8-1998;78407719;ja;13-9-2020;30-4-2021;nog inplannen;MOD;Nee
560;Adan;Lemke;AdanLemke@example.org;15-1-1955;31533128;ja;23-7-2020;16-5-2021;nog inplannen;MOD;Nee
561;Reyes;Langworth;ReyesLangworth@example.org;14-5-1971;57868433;nee;nvt;12-4-2021;VOLDAAN;AZ;Nee
562;Lauriane;Heller;LaurianeHeller@example.org;5-9-1958;78689079;ja;25-11-2020;13-1-2021;23-2-2021;PFI;Ja, 30 uur oud
563;Jesus;Gleichner;JesusGleichner@example.org;17-11-1955;83593252;ja;19-7-2020;9-3-2021;8-5-2021;PFI;Nee
564;Godfrey;Corkery;GodfreyCorkery@example.org;25-2-1975;31338004;nee;nvt;1-2-2021;22-3-2021;PFI;Nee
565;Amely;Hansen;AmelyHansen@example.org;23-10-1979;29067070;nee;nvt;10-4-2021;17-5-2021;PFI;Nee
566;Florence;Gottlieb;FlorenceGottlieb@example.org;25-8-1999;43734570;ja;23-5-2020;30-4-2021;nog inplannen;PFI;Nee
567;Jeromy;Dickens;JeromyDickens@example.org;6-1-1999;19289088;nee;nvt;31-1-2021;15-3-2021;ONB;Nee
568;Gina;Buckridge;GinaBuckridge@example.org;24-11-1952;90718364;ja;17-8-2020;29-4-2021;nog inplannen;PFI;Nee
569;Jordon;Prosacco;JordonProsacco@example.org;28-11-1961;71857275;ja;19-8-2020;13-4-2021;20-5-2021;PFI;Ja, 30 uur oud
570;Florencio;Krajcik;FlorencioKrajcik@example.org;18-7-1951;10060017;ja;27-8-2020;21-1-2021;9-3-2021;PFI;Nee
571;Madge;Hills;MadgeHills@example.org;26-3-1952;34305593;ja;5-10-2020;10-2-2021;VOLDAAN;AZ;Nee
572;Damian;Will;DamianWill@example.org;21-3-1999;78678504;ja;13-5-2020;29-5-2021;nog inplannen;PFI;Nee
573;Dwight;Parisian;DwightParisian@example.org;15-8-1960;51347365;ja;20-12-2020;30-1-2021;1-3-2021;PFI;Nee
574;Nicola;Ferry;NicolaFerry@example.org;25-7-1953;35044726;ja;28-1-2021;30-5-2021;nog inplannen;PFI;Nee
575;Christophe;Strosin;ChristopheStrosin@example.org;5-4-1997;95517987;ja;30-11-2020;22-1-2021;3-3-2021;PFI;Nee
576;Ruth;Weimann;RuthWeimann@example.org;2-9-1964;90204111;nee;nvt;7-5-2021;nog inplannen;MOD;Ja, 30 uur oud
577;Kristopher;Herzog;KristopherHerzog@example.org;20-10-1952;26206695;nee;nvt;12-3-2021;27-4-2021;ONB;Nee
578;Hollie;Kemmer;HollieKemmer@example.org;21-10-1947;87693863;nee;nvt;17-5-2021;nog inplannen;PFI;Nee
579;Odessa;Gusikowski;OdessaGusikowski@example.org;30-3-1945;46346723;ja;23-6-2020;31-3-2021;26-5-2021;PFI;Nee
580;Mariela;Casper;MarielaCasper@example.org;19-12-1940;22678979;ja;16-9-2020;19-3-2021;16-5-2021;PFI;Nee
581;Torrey;Bahringer;TorreyBahringer@example.org;25-6-1955;43525049;nee;nvt;18-5-2021;nog inplannen;PFI;Nee
582;Abigail;Rau;AbigailRau@example.org;1-1-1978;12967950;ja;23-1-2021;3-3-2021;1-4-2021;AZ;Nee
583;Evie;Balistreri;EvieBalistreri@example.org;15-2-1950;70646242;ja;12-10-2020;19-2-2021;31-3-2021;PFI;Ja, 30 uur oud
584;Stephen;Bednar;StephenBednar@example.org;31-7-1987;89574494;ja;13-8-2020;15-5-2021;nog inplannen;PFI;Nee
585;Willie;Miller;WillieMiller@example.org;7-5-1964;33811785;ja;11-8-2020;23-5-2021;VOLDAAN;AZ;Nee
586;Lenny;Cummerata;LennyCummerata@example.org;6-12-1995;35419928;nee;nvt;1-2-2021;25-3-2021;ONB;Nee
587;Minnie;Crona;MinnieCrona@example.org;11-7-1999;52046237;ja;11-8-2020;19-1-2021;16-3-2021;MOD;Nee
588;Herman;Mayert;HermanMayert@example.org;28-4-1935;75949874;nee;nvt;29-4-2021;nog inplannen;PFI;Nee
589;Marta;Smitham;MartaSmitham@example.org;26-10-1980;40135691;ja;21-7-2020;3-3-2021;1-5-2021;PFI;Nee
590;Angelica;Welch;AngelicaWelch@example.org;8-8-1931;57172439;nee;nvt;19-3-2021;4-5-2021;PFI;Ja, 30 uur oud
591;Kareem;Heaney;KareemHeaney@example.org;30-5-2002;75585216;ja;30-12-2020;1-5-2021;nog inplannen;PFI;Nee
592;Berenice;Wiza;BereniceWiza@example.org;9-12-1961;24941536;ja;5-9-2020;14-2-2021;21-3-2021;PFI;Nee
593;Sadie;Lockman;SadieLockman@example.org;9-8-1985;95281000;ja;15-10-2020;15-1-2021;15-2-2021;PFI;Nee
594;Laila;Marquardt;LailaMarquardt@example.org;30-7-1988;68901157;ja;20-11-2020;17-4-2021;nog inplannen;PFI;Nee
595;Sienna;Ratke;SiennaRatke@example.org;13-9-1990;81945622;ja;3-8-2020;29-1-2021;17-3-2021;PFI;Nee
596;Immanuel;Oberbrunner;ImmanuelOberbrunner@example.org;31-1-1938;67891228;nee;nvt;10-4-2021;11-5-2021;PFI;Nee
597;Sandra;Braun;SandraBraun@example.org;2-10-1938;19685470;ja;1-11-2020;18-1-2021;4-3-2021;AZ;Ja, 30 uur oud
598;Courtney;Goldner;CourtneyGoldner@example.org;21-10-2001;75074089;nee;nvt;22-1-2021;24-2-2021;AZ;Nee
599;Marjorie;Grant;MarjorieGrant@example.org;17-6-1940;88177465;nee;nvt;26-3-2021;1-5-2021;AZ;Nee
600;Arvid;Roberts;ArvidRoberts@example.org;7-6-1984;11987464;ja;17-8-2020;19-2-2021;5-4-2021;PFI;Nee
601;Alexander;Ebert;AlexanderEbert@example.org;15-2-1959;53273902;nee;nvt;3-3-2021;1-4-2021;MOD;Nee
602;Braxton;Strosin;BraxtonStrosin@example.org;11-9-1972;60801279;nee;nvt;15-2-2021;1-4-2021;AZ;Nee
603;Tania;Altenwerth;TaniaAltenwerth@example.org;21-1-1980;42719843;nee;nvt;13-3-2021;28-4-2021;PFI;Nee
604;Matt;Swift;MattSwift@example.org;25-6-1980;83278026;nee;nvt;9-3-2021;27-4-2021;ONB;Ja, 30 uur oud
605;Martina;Terry;MartinaTerry@example.org;22-3-1946;51160555;nee;nvt;6-3-2021;13-4-2021;PFI;Nee
606;Katharina;Mertz;KatharinaMertz@example.org;9-8-1972;26690294;ja;4-8-2020;3-4-2021;6-5-2021;PFI;Nee
607;Estelle;Paucek;EstellePaucek@example.org;8-1-1939;60008818;nee;nvt;7-3-2021;4-5-2021;PFI;Nee
608;Alanis;D'Amore;AlanisD'Amore@example.org;24-10-1969;66362609;ja;14-7-2020;9-2-2021;29-3-2021;PFI;Nee
609;Eloise;Hudson;EloiseHudson@example.org;24-11-2002;71548584;nee;nvt;30-5-2021;VOLDAAN;AZ;Nee
610;Gay;Hirthe;GayHirthe@example.org;28-4-1943;21830717;nee;nvt;22-3-2021;22-4-2021;PFI;Nee
611;Hellen;Buckridge;HellenBuckridge@example.org;31-10-1998;48834160;ja;12-6-2020;21-2-2021;29-3-2021;PFI;Ja, 30 uur oud
612;Devonte;Will;DevonteWill@example.org;2-9-1951;51188871;nee;nvt;25-1-2021;21-3-2021;AZ;Nee
613;Sabryna;Beer;SabrynaBeer@example.org;18-11-1952;76251170;ja;13-11-2020;27-4-2021;29-5-2021;PFI;Nee
614;Jed;Zboncak;JedZboncak@example.org;9-5-1983;68484684;ja;8-9-2020;18-1-2021;15-3-2021;ONB;Nee
615;Kurt;Stoltenberg;KurtStoltenberg@example.org;16-5-1999;77490399;ja;22-6-2020;2-5-2021;30-5-2021;AZ;Nee
616;Vern;Beer;VernBeer@example.org;4-7-1986;59400493;nee;nvt;12-5-2021;nog inplannen;PFI;Nee
617;Filiberto;Hessel;FilibertoHessel@example.org;20-8-1972;31715095;ja;19-12-2020;9-3-2021;16-4-2021;PFI;Nee
618;Rylee;Cummerata;RyleeCummerata@example.org;1-5-1946;21082649;ja;15-8-2020;24-4-2021;nog inplannen;PFI;Ja, 30 uur oud
